,Player,Team,Position,Age,Date of Birth,Birth City,Birth State/Province,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Team,Draft Round,Round Pick,Overall Draft Position
914,Akito Hirose,VAN,D,25,4/9/1999,CALGARY,AB,CAN,CAN,72,170,-,-,-,-,-
747,Aku Raty,ARI,R,22,7/5/2001,,,FIN,,72,170,2019,ARI,5,27,151
50,Alec Martinez,VGK,D,36,7/26/1987,Rochester Hills,MI,USA,USA,73,210,2007,L.A,4,4,95
287,Aleksander Barkov,FLA,C,28,9/2/1995,Tampere,,FIN,FIN,75,215,2013,FLA,1,2,2
525,Alex Barré-Boulet,T.B,C,27,5/21/1997,Montmagny,QC,CAN,CAN,70,180,-,-,-,-,-
466,Alex DeBrincat,DET,R,26,12/18/1997,Farmington Hills,MI,USA,USA,68,178,2016,CHI,2,9,39
11,Alex Goligoski,MIN,D,38,7/30/1985,Grand Rapids,MN,USA,USA,71,173,2004,PIT,2,31,61
580,Alex Iafallo,WPG,L,30,12/21/1993,Eden,NY,USA,USA,72,200,-,-,-,-,-
241,Alex Kerfoot,ARI,C,29,8/11/1994,Vancouver,BC,CAN,CAN,71,186,2012,N.J,5,29,150
32,Alex Killorn,ANA,"C, L",34,9/14/1989,Halifax,NS,CAN,CAN,73,194,2007,T.B,3,16,77
804,Alex Laferriere,L.A,R,22,10/28/2001,Chatham,NJ,USA,USA,72,173,2020,L.A,3,21,83
740,Alex Newhook,MTL,C,23,1/28/2001,St. John's,NL,CAN,CAN,70,190,2019,COL,1,16,16
8,Alex Ovechkin,WSH,L,38,9/17/1985,Moscow,,RUS,RUS,75,238,2004,WSH,1,1,1
121,Alex Petrovic,DAL,D,32,3/3/1992,Edmonton,AB,CAN,CAN,76,220,2010,FLA,2,6,36
54,Alex Pietrangelo,VGK,D,34,1/18/1990,King City,ON,CAN,CAN,75,215,2008,STL,1,4,4
831,Alex Steeves,TOR,C,24,12/10/1999,Bedford,NH,USA,USA,72,196,-,-,-,-,-
328,Alex Tuch,BUF,R,28,5/10/1996,Syracuse,NY,USA,USA,76,219,2014,MIN,1,18,18
701,Alex Turcotte,L.A,C,23,2/26/2001,Elk Grove,IL,USA,USA,71,185,2019,L.A,1,5,5
720,Alex Vlasic,CHI,D,23,6/5/2001,Wilmette,IL,USA,USA,78,199,2019,CHI,2,12,43
298,Alex Wennberg,"NYR, SEA",C,29,9/22/1994,Stockholm,,SWE,SWE,74,190,2013,CBJ,1,14,14
629,Alexander Alexeyev,WSH,D,24,11/15/1999,St. Petersburg,,RUS,RUS,76,213,2018,WSH,1,31,31
817,Alexander Barabanov,S.J,L,29,6/17/1994,St. Petersburg,,RUS,RUS,70,195,-,-,-,-,-
792,Alexander Holtz,N.J,R,22,1/23/2002,Stockholm,,SWE,SWE,72,195,2020,N.J,1,7,7
501,Alexander Nylander,"CBJ, PIT",L,26,3/2/1998,Calgary,AB,CAN,CAN,73,192,2016,BUF,1,8,8
663,Alexander Romanov,NYI,D,24,1/6/2000,Moscow,,RUS,RUS,73,215,2018,MTL,2,7,38
434,Alexandre Carrier,NSH,D,27,10/8/1996,Quebec City,QC,CAN,CAN,71,174,2015,NSH,4,24,115
576,Alexandre Texier,CBJ,C,24,9/13/1999,St. Martin D'heres,,FRA,FRA,73,186,2017,CBJ,2,14,45
601,Alexey Toropchenko,STL,R,24,6/25/1999,Moscow,,RUS,RUS,78,222,2017,STL,4,20,113
783,Alexis Lafrenière,NYR,L,22,10/11/2001,St-Eustache,QC,CAN,CAN,73,195,2020,NYR,1,1,1
744,Aliaksei Protas,WSH,C,23,1/6/2001,VITEBSK,,BLR,BLR,78,225,2019,WSH,3,29,91
103,Anders Lee,NYI,L,33,7/3/1990,Edina,MN,USA,USA,75,235,2009,NYI,6,1,152
270,Andre Burakovsky,SEA,L,29,2/9/1995,Klagenfurt,,AUT,SWE,75,209,2013,WSH,1,23,23
233,Andreas Athanasiou,CHI,C,29,8/6/1994,London,ON,CAN,CAN,74,190,2012,DET,4,19,110
339,Andreas Englund,L.A,D,28,1/21/1996,Stockholm,,SWE,SWE,75,189,2014,OTT,2,10,40
906,Andrei Kuzmenko,"CGY, VAN",L,28,2/4/1996,YAKUTSK,,RUS,RUS,71,194,-,-,-,-,-
631,Andrei Svechnikov,CAR,R,24,3/26/2000,Barnual,,RUS,RUS,74,195,2018,CAR,1,2,2
17,Andrew Cogliano,COL,C,37,6/14/1987,Toronto,ON,CAN,CAN,70,179,2005,EDM,1,25,25
268,Andrew Copp,DET,C,29,7/8/1994,Ann Arbor,MI,USA,USA,73,199,2013,WPG,4,13,104
373,Andrew Mangiapane,CGY,L,28,4/4/1996,Toronto,ON,CAN,CAN,70,184,2015,CGY,6,15,166
480,Andrew Peeke,"BOS, CBJ",D,26,3/17/1998,Parkland,FL,USA,USA,75,210,2016,CBJ,2,4,34
451,Andrew Poturalski,SEA,C,30,1/14/1994,Williamsville,NY,USA,USA,70,183,-,-,-,-,-
674,Angus Crookshank,OTT,L,24,10/2/1999,North Vancouver,BC,CAN,CAN,70,181,2018,OTT,5,2,126
411,Anthony Beauvillier,"CHI, NSH, VAN",L,27,6/8/1997,Sorel-Tracy,QC,CAN,CAN,71,180,2015,NYI,1,28,28
427,Anthony Cirelli,T.B,C,26,7/15/1997,Etobicoke,ON,CAN,CAN,72,189,2015,T.B,3,11,72
263,Anthony Duclair,"S.J, T.B",L,28,8/26/1995,Pointe-Claire,QC,CAN,CAN,71,197,2013,NYR,3,19,80
302,Anthony Mantha,"VGK, WSH",R,29,9/16/1994,Longueuil,QC,CAN,CAN,77,234,2013,DET,1,20,20
385,Anthony Richard,BOS,C,27,12/20/1996,Trois-Rivieres,QC,CAN,CAN,71,183,2015,NSH,4,9,100
249,Anton Blidh,NYR,L,29,3/14/1995,Molnlycke,,SWE,SWE,73,197,2013,BOS,6,29,180
786,Anton Lundell,FLA,C,22,10/3/2001,Espoo,,FIN,FIN,73,185,2020,FLA,1,12,12
14,Anze Kopitar,L.A,C,36,8/24/1987,Jesenice,,SVN,SVN,75,225,2005,L.A,1,11,11
868,Arber Xhekaj,MTL,D,23,1/30/2001,Hamilton,ON,CAN,CAN,76,238,-,-,-,-,-
871,Arshdeep Bains,VAN,L,23,1/9/2001,Surrey,BC,CAN,CAN,72,184,-,-,-,-,-
819,Artem Zub,OTT,D,28,10/3/1995,Khabarovsk,,RUS,RUS,74,200,-,-,-,-,-
429,Artemi Panarin,NYR,L,32,10/30/1991,Korkino,,RUS,RUS,72,173,-,-,-,-,-
717,Arthur Kaliyev,L.A,R,22,6/26/2001,New York City,,USA,USA,74,210,2019,L.A,2,2,33
281,Artturi Lehkonen,COL,L,28,7/4/1995,Piikkio,,FIN,FIN,71,179,2013,MTL,2,25,55
426,Austin Czarnik,DET,C,31,12/12/1992,Detroit,MI,USA,USA,69,170,-,-,-,-,-
127,Austin Watson,T.B,L,32,1/13/1992,Ann Arbor,MI,USA,USA,76,204,2010,NSH,1,18,18
457,Auston Matthews,TOR,C,26,9/17/1997,San Ramon,CA,USA,USA,75,208,2016,TOR,1,1,1
511,Axel Jonsson-Fjallby,WPG,L,26,2/10/1998,Stockholm,,SWE,SWE,73,189,2016,WSH,5,26,147
189,Barclay Goodrow,NYR,C,31,2/26/1993,Toronto,ON,CAN,CAN,74,204,-,-,-,-,-
639,Barrett Hayton,ARI,C,24,6/9/2000,Peterborough,ON,CAN,CAN,73,207,2018,ARI,1,5,5
475,Beck Malenstyn,WSH,L,26,2/4/1998,Delta,BC,CAN,CAN,75,200,2016,WSH,5,24,145
101,Ben Chiarot,DET,D,33,5/9/1991,Hamilton,ON,CAN,CAN,75,232,2009,ATL,4,29,120
240,Ben Hutton,VGK,D,31,4/20/1993,Brockville,ON,CAN,CAN,75,201,2012,VAN,5,26,147
900,Ben Meyers,"ANA, COL",C,25,11/15/1998,DELANO,MN,USA,USA,71,194,-,-,-,-,-
160,Blake Coleman,CGY,C,32,11/28/1991,Plano,TX,USA,USA,71,199,2011,N.J,3,14,75
692,Blake Lizotte,L.A,C,26,12/13/1997,Lindstrom,MN,USA,USA,69,170,-,-,-,-,-
10,Blake Wheeler,NYR,R,37,8/31/1986,Plymouth,MN,USA,USA,77,220,2004,PHX,1,5,5
645,Bo Groulx,ANA,C,24,2/6/2000,Gatineau,QC,CAN,CAN,74,200,2018,ANA,2,23,54
294,Bo Horvat,NYI,C,29,4/5/1995,London,ON,CAN,CAN,72,215,2013,VAN,1,9,9
712,Bobby Brink,PHI,R,22,7/8/2001,Minnetonka,MN,USA,USA,68,166,2019,PHI,2,3,34
821,Bobby McMann,TOR,C,28,6/15/1996,"Wainwright, AB",AB,CAN,CAN,74,208,-,-,-,-,-
370,Bokondji Imama,OTT,L,27,8/3/1996,Montreal,QC,CAN,CAN,73,221,2015,T.B,6,29,180
164,Boone Jenner,CBJ,C,31,6/15/1993,Dorchester,ON,CAN,CAN,74,203,2011,CBJ,2,7,37
487,Boris Katchouk,"CHI, OTT",L,25,6/18/1998,Waterloo,ON,CAN,CAN,74,206,2016,T.B,2,14,44
698,Bowen Byram,"BUF, COL",D,23,6/13/2001,Cranbrook,BC,CAN,CAN,73,190,2019,COL,1,4,4
21,Brad Marchand,BOS,L,36,5/11/1988,Halifax,NS,CAN,CAN,69,176,2006,BOS,3,8,71
767,Braden Schneider,NYR,D,22,9/20/2001,Prince Albert,SK,CAN,CAN,75,208,2020,NYR,1,19,19
913,Bradly Nadeau,CAR,L,19,5/5/2005,,,CAN,,70,161,2023,CAR,1,30,30
198,Brady Skjei,CAR,D,30,3/26/1994,Lakeville,MN,USA,USA,75,210,2012,NYR,1,28,28
621,Brady Tkachuk,OTT,L,24,9/16/1999,Scottsdale,AZ,USA,USA,76,221,2018,OTT,1,4,4
763,Brandon Biro,BUF,L,26,3/11/1998,Sherwood Park,AB,CAN,CAN,71,170,-,-,-,-,-
399,Brandon Carlo,BOS,D,27,11/26/1996,Colorado Springs,CO,USA,USA,78,218,2015,BOS,2,7,37
507,Brandon Duhaime,"COL, MIN",R,27,5/22/1997,Coral Springs,FL,USA,USA,74,200,2016,MIN,4,15,106
464,Brandon Gignac,MTL,C,26,11/7/1997,Repentigny,QC,CAN,CAN,71,170,2016,N.J,3,19,80
512,Brandon Hagel,T.B,L,25,8/27/1998,Saskatoon,SK,CAN,CAN,74,179,2016,BUF,6,8,159
341,Brandon Montour,FLA,D,30,4/11/1994,Brantford,ON,CAN,CAN,72,194,2014,ANA,2,25,55
165,Brandon Saad,STL,L,31,10/27/1992,Pittsburgh,PA,USA,USA,73,215,2011,CHI,2,13,43
875,Brandon Scanlin,NYR,D,25,6/2/1999,Hamilton,ON,CAN,CAN,75,223,-,-,-,-,-
453,Brandon Tanev,SEA,L,32,12/31/1991,Toronto,ON,CAN,CAN,72,189,-,-,-,-,-
848,Brandt Clarke,L.A,D,21,2/9/2003,Nepean,ON,CAN,CAN,74,185,2021,L.A,1,8,8
88,Brayden McNabb,VGK,D,33,1/21/1991,Davidson,SK,CAN,CAN,76,215,2009,BUF,3,5,66
682,Brayden Pachal,"CGY, VGK",D,24,8/23/1999,Estevan,SK,CAN,CAN,74,203,-,-,-,-,-
346,Brayden Point,T.B,C,28,3/13/1996,Calgary,AB,CAN,CAN,71,180,2014,T.B,3,19,79
81,Brayden Schenn,STL,C,32,8/22/1991,Saskatoon,SK,CAN,CAN,73,199,2009,L.A,1,5,5
803,Brendan Brisson,VGK,C,22,10/22/2001,,,USA,,72,191,2020,VGK,1,29,29
143,Brendan Gallagher,MTL,R,32,5/6/1992,Edmonton,AB,CAN,CAN,69,186,2010,MTL,5,27,147
197,Brendan Gaunce,CBJ,C,30,3/25/1994,Sudbury,ON,CAN,CAN,75,219,2012,VAN,1,26,26
336,Brendan Lemieux,CAR,L,28,3/15/1996,Denver,CO,USA,USA,73,215,2014,BUF,2,1,31
42,Brendan Smith,N.J,D,35,2/8/1989,Mimico,ON,CAN,CAN,74,200,2007,DET,1,27,27
107,Brenden Dillon,WPG,D,33,11/13/1990,New Westminster,BC,CAN,CAN,76,224,-,-,-,-,-
854,Brennan Othmann,NYR,L,21,1/5/2003,Scarborough,ON,CAN,CAN,72,188,2021,NYR,1,16,16
4,Brent Burns,CAR,D,39,3/9/1985,Barrie,ON,CAN,CAN,77,230,2003,MIN,1,20,20
474,Brett Howden,VGK,C,26,3/29/1998,Calgary,AB,CAN,CAN,74,203,2016,T.B,1,27,27
234,Brett Kulak,EDM,D,30,1/6/1994,Edmonton,AB,CAN,CAN,73,197,2012,CGY,4,14,105
693,Brett Leason,ANA,R,25,4/30/1999,Calgary,AB,CAN,CAN,77,218,2019,WSH,2,25,56
498,Brett Murray,BUF,L,25,7/20/1998,Bolton,ON,CAN,CAN,77,228,2016,BUF,4,8,99
285,Brett Pesce,CAR,D,29,11/15/1994,Tarrytown,NY,USA,USA,75,206,2013,CAR,3,5,66
441,Brett Seney,CHI,L,28,2/28/1996,London,ON,CAN,CAN,69,156,2015,N.J,6,6,157
93,Brian Dumoulin,SEA,D,32,9/6/1991,Biddeford,ME,USA,USA,76,207,2009,CAR,2,21,51
895,Brian Halonen,N.J,L,25,1/11/1999,,,USA,,72,207,-,-,-,-,-
400,Brock Boeser,VAN,R,27,2/25/1997,Burnsville,MN,USA,USA,73,208,2015,VAN,1,23,23
790,Brock Faber,MIN,D,21,8/22/2002,Maple Grove,MN,USA,USA,73,200,2020,L.A,2,14,45
230,Brock McGinn,ANA,L,30,2/2/1994,Fergus,ON,CAN,CAN,72,187,2012,CAR,2,17,47
120,Brock Nelson,NYI,C,32,10/15/1991,Warroad,MN,USA,USA,76,210,2010,NYI,1,30,30
140,Bryan Rust,PIT,R,32,5/11/1992,Pontiac,MI,USA,USA,71,192,2010,PIT,3,20,80
100,Byron Froese,VGK,C,33,3/12/1991,Winkler,MB,CAN,CAN,73,202,2009,CHI,4,28,119
27,Cal Clutterbuck,NYI,R,36,11/18/1987,Welland,ON,CAN,CAN,72,212,2006,MIN,3,9,72
537,Cal Foote,N.J,D,25,12/13/1998,Denver,CO,USA,USA,77,224,2017,T.B,1,14,14
538,Cale Fleury,SEA,D,25,11/19/1998,Carlyle,SK,CAN,CAN,73,204,2017,MTL,3,25,87
573,Cale Makar,COL,D,25,10/30/1998,Calgary,AB,CAN,CAN,71,187,2017,COL,1,4,4
406,Caleb Jones,COL,D,27,6/6/1997,Arlington,TX,USA,USA,73,194,2015,EDM,4,26,117
652,Calen Addison,"MIN, S.J",D,24,4/11/2000,Brandon,MB,CAN,CAN,71,173,2018,PIT,2,22,53
820,Callahan Burke,CAR,C,27,3/19/1997,Boxborough,MA,USA,USA,70,183,-,-,-,-,-
111,Calle Jarnkrok,TOR,C,32,9/25/1991,Gävle,,SWE,SWE,72,192,2010,DET,2,21,51
583,Calle Rosen,STL,D,30,2/2/1994,Vaxjo,,SWE,SWE,73,188,-,-,-,-,-
84,Calvin de Haan,T.B,D,33,5/9/1991,Carp,ON,CAN,CAN,73,195,2009,NYI,1,12,12
69,Cam Atkinson,PHI,R,35,6/5/1989,Riverside,CT,USA,USA,68,176,2008,CBJ,6,6,157
125,Cam Fowler,ANA,D,32,12/5/1991,Windsor,ON,CAN,USA,74,215,2010,ANA,1,12,12
710,Cam York,PHI,D,23,1/5/2001,Anaheim,CA,USA,USA,71,175,2019,PHI,1,14,14
577,Cameron Crotty,ARI,D,25,5/5/1999,Ottawa,ON,CAN,CAN,75,188,2017,ARI,3,20,82
465,Carl Grundstrom,L.A,R,26,12/1/1997,Umea,,SWE,SWE,72,195,2016,TOR,2,27,57
603,Carson Meyer,CBJ,R,26,8/18/1997,Powell,OH,USA,USA,71,184,-,-,-,-,-
255,Carson Soucy,VAN,D,29,7/27/1994,Viking,AB,CAN,CAN,77,208,2013,MIN,5,16,137
264,Carter Verhaeghe,FLA,C,28,8/14/1995,Toronto,ON,CAN,CAN,74,180,2013,TOR,3,21,82
97,Casey Cizikas,NYI,C,33,2/27/1991,Toronto,ON,CAN,CAN,71,190,2009,NYI,4,1,92
546,Casey Mittelstadt,"BUF, COL",C,25,11/22/1998,Edina,MN,USA,USA,73,195,2017,BUF,1,8,8
248,Chad Ruhwedel,"NYR, PIT",D,34,5/7/1990,San Diego,CA,USA,USA,71,191,-,-,-,-,-
217,Chandler Stephenson,VGK,C,30,4/22/1994,Saskatoon,SK,CAN,CAN,72,209,2012,WSH,3,16,77
116,Charlie Coyle,BOS,C,32,3/2/1992,E. Weymouth,MA,USA,USA,75,223,2010,S.J,1,28,28
462,Charlie McAvoy,BOS,D,26,12/21/1997,Long Beach,NY,USA,USA,73,209,2016,BOS,1,14,14
87,Chris Kreider,NYR,L,33,4/30/1991,Boxford,MA,USA,USA,75,230,2009,NYR,1,19,19
109,Chris Tanev,"CGY, DAL",D,34,12/20/1989,Toronto,ON,CAN,CAN,74,193,-,-,-,-,-
224,Chris Tierney,N.J,C,29,7/1/1994,Keswick,ON,CAN,CAN,73,191,2012,S.J,2,25,55
129,Chris Wagner,COL,R,33,5/27/1991,Walpole,MA,USA,USA,72,192,2010,ANA,5,2,122
343,Christian Dvorak,MTL,C,28,2/2/1996,Palos,IL,USA,USA,73,193,2014,ARI,2,28,58
394,Christian Fischer,DET,R,27,4/15/1997,Chicago,IL,USA,USA,74,212,2015,ARI,2,2,32
29,Claude Giroux,OTT,R,36,1/12/1988,Hearst,ON,CAN,CAN,71,190,2006,PHI,1,22,22
468,Clayton Keller,ARI,R,25,7/29/1998,Chesterfield,MO,USA,USA,70,178,2016,ARI,1,7,7
205,Cody Ceci,EDM,D,30,12/21/1993,Ottawa,ON,CAN,CAN,74,210,2012,OTT,1,15,15
544,Cody Glass,NSH,C,25,4/1/1999,Winnipeg,MB,CAN,CAN,75,206,2017,VGK,1,6,6
706,Cole Caufield,MTL,R,23,1/2/2001,Mosinee,WI,USA,USA,67,174,2019,MTL,1,15,15
598,Cole Guttman,CHI,C,25,4/6/1999,Northridge,CA,USA,USA,69,167,2017,T.B,6,25,180
670,Cole Koepke,T.B,L,26,5/17/1998,Two Harbors,MN,USA,USA,73,196,2018,T.B,6,28,183
918,Cole McWard,VAN,D,23,6/9/2001,Fenton,MO,USA,USA,73,192,-,-,-,-,-
802,Cole Perfetti,WPG,C,22,1/1/2002,Whitby,ON,CAN,CAN,71,184,2020,WPG,1,10,10
743,Cole Schwindt,CGY,R,23,4/25/2001,Kitchener,ON,CAN,CAN,74,182,2019,FLA,3,19,81
844,Cole Sillinger,CBJ,C,21,5/16/2003,Columbus,OH,USA,USA,73,201,2021,CBJ,1,12,12
764,Cole Smith,NSH,L,28,10/28/1995,Brainerd,MN,USA,USA,75,195,-,-,-,-,-
148,Colin Blackwell,CHI,C,31,3/28/1993,Lawrence,MA,USA,USA,69,190,2011,S.J,7,13,193
187,Colin Miller,"N.J, WPG",D,31,10/29/1992,Sault Ste. Marie,ON,CAN,CAN,73,200,2012,L.A,5,30,151
379,Colin White,"MTL, PIT",C,27,1/30/1997,Boston,MA,USA,USA,73,194,2015,OTT,1,21,21
924,Collin Graf,S.J,R,21,9/21/2002,,,USA,,73,194,-,-,-,-,-
214,Colton Parayko,STL,D,31,5/12/1993,St. Albert,AB,CAN,CAN,78,228,2012,STL,3,25,86
227,Colton Sissons,NSH,C,30,11/5/1993,North Vancouver,BC,CAN,CAN,73,200,2012,NSH,2,20,50
908,Connor Bedard,CHI,C,18,7/17/2005,,,CAN,,70,185,2023,CHI,1,1,1
239,Connor Brown,EDM,R,30,1/14/1994,Toronto,ON,CAN,CAN,72,181,2012,TOR,6,5,156
254,Connor Clifton,BUF,D,29,4/28/1995,Long Branch,NJ,USA,USA,71,190,2013,PHX,5,12,133
658,Connor Dewar,"MIN, TOR",C,24,6/26/1999,Gilbert Plains,MB,CAN,CAN,70,183,2018,MIN,3,30,92
765,Connor Mackey,NYR,D,27,9/12/1996,Tower Lakes,IL,USA,USA,74,197,-,-,-,-,-
381,Connor McDavid,EDM,C,27,1/13/1997,Richmond Hill,ON,CAN,CAN,73,193,2015,EDM,1,1,1
723,Connor McMichael,WSH,C,23,1/15/2001,Ajax,ON,CAN,CAN,72,180,2019,WSH,1,25,25
182,Connor Murphy,CHI,D,31,3/26/1993,Dublin,OH,USA,USA,76,212,2011,PHX,1,20,20
768,Connor Zary,CGY,C,22,9/25/2001,Saskatoon,SK,CAN,CAN,72,178,2020,CGY,1,24,24
436,Conor Garland,VAN,R,28,3/11/1996,Scituate,MA,USA,USA,70,165,2015,ARI,5,2,123
307,Conor Sheary,T.B,L,32,6/8/1992,Winchester,MA,USA,USA,69,179,-,-,-,-,-
535,Conor Timmins,TOR,D,25,9/18/1998,St. Catharines,ON,CAN,CAN,74,202,2017,COL,2,1,32
5,Corey Perry,"CHI, EDM",R,39,5/16/1985,Peterborough,ON,CAN,CAN,75,208,2003,ANA,1,28,28
96,Craig Smith,DAL,C,34,9/5/1989,Madison,WI,USA,USA,72,204,2009,NSH,4,7,98
301,Curtis Lazar,N.J,C,29,2/2/1995,Salmon Arm,BC,CAN,CAN,72,203,2013,OTT,1,17,17
878,Cutter Gauthier,ANA,L,20,1/19/2004,,,SWE,,74,189,2022,PHI,1,5,5
777,Daemon Hunt,MIN,D,22,5/15/2002,,,CAN,,73,201,2020,MIN,3,3,65
360,Dakota Joshua,VAN,C,28,5/15/1996,Dearborn,MI,USA,USA,75,206,2014,TOR,5,8,128
304,Dakota Mermis,MIN,D,30,1/5/1994,Alton,IL,USA,USA,72,195,-,-,-,-,-
226,Damon Severson,CBJ,D,29,8/7/1994,Melville,SK,CAN,CAN,74,205,2012,N.J,2,30,60
412,Daniel Sprong,DET,R,27,3/17/1997,Amsterdam,,NLD,NLD,72,202,2015,PIT,2,16,46
830,Daniil Miromanov,"CGY, VGK",D,26,7/11/1997,Moscow,,RUS,RUS,76,200,-,-,-,-,-
780,Danil Gushchin,S.J,L,22,2/6/2002,Yekaterinburg,,RUS,RUS,68,165,2020,S.J,3,14,76
482,Dante Fabbro,NSH,D,25,6/20/1998,Coquitlam,BC,CAN,CAN,72,189,2016,NSH,1,17,17
356,Danton Heinen,BOS,L,28,7/5/1995,Langley,BC,CAN,CAN,73,188,2014,BOS,4,26,116
292,Darnell Nurse,EDM,D,29,2/4/1995,Hamilton,ON,CAN,CAN,76,221,2013,EDM,1,7,7
371,Darren Raddysh,T.B,D,28,2/28/1996,Toronto,ON,CAN,CAN,73,200,-,-,-,-,-
665,David Gustafsson,WPG,C,24,4/11/2000,Tingsryd,,SWE,SWE,74,212,2018,WPG,2,29,60
880,David Jiricek,CBJ,D,20,11/28/2003,Klatovy,,CZE,CZE,76,199,2022,CBJ,1,6,6
581,David Kampf,TOR,C,29,1/12/1995,Chomutov,,CZE,CZE,74,197,-,-,-,-,-
334,David Pastrnak,BOS,R,28,5/25/1996,Havirov,,CZE,CZE,73,195,2014,BOS,1,25,25
43,David Perron,DET,L,36,5/28/1988,Sherbrooke,QC,CAN,CAN,73,196,2007,STL,1,26,26
98,David Savard,MTL,D,33,10/22/1990,St. Hyacinthe,QC,CAN,CAN,73,235,2009,CBJ,4,3,94
784,Dawson Mercer,N.J,C,22,10/27/2001,Carbonear,NL,CAN,CAN,72,180,2020,N.J,1,18,18
659,Declan Chisholm,"MIN, WPG",D,24,1/12/2000,Bowmanville,ON,CAN,CAN,73,185,2018,WPG,5,26,150
420,Denis Gurianov,"NSH, PHI",R,27,6/7/1997,Togliatti,,RUS,RUS,75,205,2015,DAL,1,12,12
423,Dennis Gilbert,CGY,D,27,10/30/1996,Buffalo,NY,USA,USA,74,216,2015,CHI,3,30,91
123,Derek Forbort,BOS,D,32,3/4/1992,Duluth,MN,USA,USA,76,208,2010,L.A,1,15,15
431,Derek Ryan,EDM,C,37,12/29/1986,Spokane,WA,USA,USA,70,185,-,-,-,-,-
209,Derrick Pouliot,DAL,D,30,1/16/1994,Estevan,SK,CAN,CAN,72,196,2012,PIT,1,8,8
220,Devin Shore,SEA,C,29,7/19/1994,Ajax,ON,CAN,CAN,73,206,2012,DAL,2,31,61
353,Devon Toews,COL,D,30,2/21/1994,Abbotsford,BC,CAN,CAN,73,191,2014,NYI,4,18,108
471,Dillon Dube,CGY,C,25,7/20/1998,Golden,AB,CAN,CAN,71,185,2016,CGY,2,26,56
753,Dmitri Voronkov,CBJ,L,23,9/10/2000,,,RUS,,77,240,2019,CBJ,4,21,114
85,Dmitry Kulikov,FLA,D,33,10/29/1990,Lipetsk,,RUS,RUS,73,201,2009,FLA,1,14,14
92,Dmitry Orlov,CAR,D,32,7/23/1991,Novokuznetsk,,RUS,RUS,71,214,2009,WSH,2,25,55
231,Dominic Toninato,WPG,C,30,3/9/1994,Duluth,MN,USA,USA,74,191,2012,TOR,5,5,126
250,Dominik Kubalik,OTT,L,28,8/21/1995,Plzen,,CZE,CZE,74,190,2013,L.A,7,10,191
177,Dougie Hamilton,N.J,D,30,6/17/1993,Toronto,ON,CAN,CAN,78,230,2011,BOS,1,9,9
591,Drake Batherson,OTT,R,26,4/27/1998,Fort Wayne,IN,USA,USA,75,200,2017,OTT,4,28,121
52,Drew Doughty,L.A,D,34,12/8/1989,London,ON,CAN,CAN,73,210,2008,L.A,1,2,2
762,Drew O'Connor,PIT,L,26,6/9/1998,Chatham,NJ,USA,USA,75,200,-,-,-,-,-
