"","Player","Team","Position","Age","Date of Birth","Birth City","Birth State/Province","Birth Country","Nationality","Height (in)","Weight (lbs)","Draft Year","Draft Team","Draft Round","Round Pick","Overall Draft Position"
"784","Adam Ruzicka","ARI, CGY","C","25","1999-05-11","Bratislava","","SVK","SVK","76","215","2017","CGY","4","16","109"
"478","Adrian Kempe","L.A","C, L, R","27","1996-09-13","Kramfors","","SWE","SWE","74","200","2014","L.A","1","29","29"
"1043","Aidan McDonough","VAN","L","24","1999-11-06","Milton","MA","USA","USA","75","190","2019","VAN","7","9","195"
"908","Akil Thomas","L.A","C","24","2000-01-02","Toronto","ON","CAN","CAN","72","171","2018","L.A","2","20","51"
"1244","Akito Hirose","VAN","D","25","1999-04-09","CALGARY","AB","CAN","CAN","72","170","-","-","-","-","-"
"1045","Aku Raty","ARI","R","22","2001-07-05","","","FIN","","72","170","2019","ARI","5","27","151"
"91","Alec Martinez","VGK","D","36","1987-07-26","Rochester Hills","MI","USA","USA","73","210","2007","L.A","4","4","95"
"895","Alec Regula","CHI","D","23","2000-08-06","West Bloomfield","MI","USA","USA","76","208","2018","DET","3","5","67"
"424","Aleksander Barkov","FLA","C","28","1995-09-02","Tampere","","FIN","FIN","75","215","2013","FLA","1","2","2"
"803","Aleksi Heponiemi","FLA","C","25","1999-01-09","Tampere","","FIN","FIN","70","155","2017","FLA","2","9","40"
"753","Alex Barré-Boulet","SEA, T.B","C","27","1997-05-21","Montmagny","QC","CAN","CAN","70","180","-","-","-","-","-"
"226","Alex Belzile","MTL","R","32","1991-08-31","Rivière-du-Loup","QC","CAN","CAN","72","196","-","-","-","-","-"
"47","Alex Biega","TOR","D","36","1988-04-04","Montreal","QC","CAN","CAN","70","195","2006","BUF","5","24","147"
"136","Alex Chiasson","DET, VAN","R","33","1990-10-01","Montreal","QC","CAN","CAN","76","208","2009","DAL","2","8","38"
"661","Alex DeBrincat","CHI, DET, OTT","L, R","26","1997-12-18","Farmington Hills","MI","USA","USA","68","178","2016","CHI","2","9","39"
"797","Alex Formenton","OTT","L","24","1999-09-13","Barrie","ON","CAN","CAN","75","195","2017","OTT","2","16","47"
"300","Alex Galchenyuk","ARI, COL","C","30","1994-02-12","Milwaukee","WI","USA","USA","73","194","2012","MTL","1","3","3"
"26","Alex Goligoski","MIN","D","38","1985-07-30","Grand Rapids","MN","USA","USA","71","173","2004","PIT","2","31","61"
"826","Alex Iafallo","L.A, WPG","L","30","1993-12-21","Eden","NY","USA","USA","72","200","-","-","-","-","-"
"64","Alex Killorn","ANA, T.B","C, L","34","1989-09-14","Halifax","NS","CAN","CAN","73","194","2007","T.B","3","16","77"
"1112","Alex Laferriere","L.A","R","22","2001-10-28","Chatham","NJ","USA","USA","72","173","2020","L.A","3","21","83"
"1034","Alex Newhook","COL, MTL","C","23","2001-01-28","St. John's","NL","CAN","CAN","70","190","2019","COL","1","16","16"
"710","Alex Nylander","CBJ, PIT","L","26","1998-03-02","Calgary","AB","CAN","CAN","73","192","2016","BUF","1","8","8"
"20","Alex Ovechkin","WSH","L","38","1985-09-17","Moscow","","RUS","RUS","75","238","2004","WSH","1","1","1"
"194","Alex Petrovic","DAL","D","32","1992-03-03","Edmonton","AB","CAN","CAN","76","220","2010","FLA","2","6","36"
"100","Alex Pietrangelo","VGK","D","34","1990-01-18","King City","ON","CAN","CAN","75","215","2008","STL","1","4","4"
"1148","Alex Steeves","TOR","C","24","1999-12-10","Bedford","NH","USA","USA","72","196","-","-","-","-","-"
"471","Alex Tuch","BUF","R","28","1996-05-10","Syracuse","NY","USA","USA","76","219","2014","MIN","1","18","18"
"990","Alex Turcotte","L.A","C","23","2001-02-26","Elk Grove","IL","USA","USA","71","185","2019","L.A","1","5","5"
"1012","Alex Vlasic","CHI","D","23","2001-06-05","Wilmette","IL","USA","USA","78","199","2019","CHI","2","12","43"
"435","Alex Wennberg","NYR, SEA","C","29","1994-09-22","Stockholm","","SWE","SWE","74","190","2013","CBJ","1","14","14"
"892","Alexander Alexeyev","WSH","D","24","1999-11-15","St. Petersburg","","RUS","RUS","76","213","2018","WSH","1","31","31"
"1128","Alexander Barabanov","S.J","L","29","1994-06-17","St. Petersburg","","RUS","RUS","70","195","-","-","-","-","-"
"29","Alexander Edler","L.A","D","38","1986-04-21","Ostersund","","SWE","SWE","76","210","2004","VAN","3","26","91"
"1099","Alexander Holtz","N.J","R","22","2002-01-23","Stockholm","","SWE","SWE","72","195","2020","N.J","1","7","7"
"360","Alexander Kerfoot","ARI, TOR","C","29","1994-08-11","Vancouver","BC","CAN","CAN","71","186","2012","N.J","5","29","150"
"24","Alexander Radulov","DAL","R","37","1986-07-05","Nizhny Tagil","","RUS","RUS","73","200","2004","NSH","1","15","15"
"944","Alexander Romanov","MTL, NYI","D","24","2000-01-06","Moscow","","RUS","RUS","73","215","2018","MTL","2","7","38"
"862","Alexander True","SEA","C","26","1997-07-17","Kobenhavn","","DNK","DNK","77","200","-","-","-","-","-"
"614","Alexandre Carrier","NSH","D","27","1996-10-08","Quebec City","QC","CAN","CAN","71","174","2015","NSH","4","24","115"
"820","Alexandre Texier","CBJ","C","24","1999-09-13","St. Martin D'heres","","FRA","FRA","73","186","2017","CBJ","2","14","45"
"852","Alexey Toropchenko","STL","R","24","1999-06-25","Moscow","","RUS","RUS","78","222","2017","STL","4","20","113"
"1090","Alexis Lafrenière","NYR","L","22","2001-10-11","St-Eustache","QC","CAN","CAN","73","195","2020","NYR","1","1","1"
"1040","Aliaksei Protas","WSH","C","23","2001-01-06","VITEBSK","","BLR","BLR","78","225","2019","WSH","3","29","91"
"514","Anders Bjork","BUF, CHI","L","27","1996-08-05","Mequon","WI","USA","USA","72","190","2014","BOS","5","26","146"
"171","Anders Lee","NYI","C, L","33","1990-07-03","Edina","MN","USA","USA","75","235","2009","NYI","6","1","152"
"401","Andre Burakovsky","COL, SEA","L","29","1995-02-09","Klagenfurt","","AUT","SWE","75","209","2013","WSH","1","23","23"
"346","Andreas Athanasiou","CHI, L.A","C","29","1994-08-06","London","ON","CAN","CAN","74","190","2012","DET","4","19","110"
"482","Andreas Englund","CHI, COL, L.A","D","28","1996-01-21","Stockholm","","SWE","SWE","75","189","2014","OTT","2","10","40"
"376","Andreas Johnsson","N.J, S.J","L","29","1994-11-21","Gävle","","SWE","SWE","70","195","2013","TOR","7","21","202"
"1235","Andrei Kuzmenko","CGY, VAN","L","28","1996-02-04","YAKUTSK","","RUS","RUS","71","194","-","-","-","-","-"
"894","Andrei Svechnikov","CAR","R","24","2000-03-26","Barnual","","RUS","RUS","74","195","2018","CAR","1","2","2"
"28","Andrej Sekera","DAL","D","38","1986-06-08","Bojnice","","SVK","SVK","72","200","2004","BUF","3","6","71"
"366","Andrej Sustr","ANA, T.B","D","33","1990-11-29","Plzen","","CZE","CZE","79","217","-","-","-","-","-"
"176","Andrew Agozzino","OTT, S.J","L","33","1991-01-03","Kleinburg","ON","CAN","CAN","70","187","-","-","-","-","-"
"36","Andrew Cogliano","COL, S.J","C","37","1987-06-14","Toronto","ON","CAN","CAN","70","179","2005","EDM","1","25","25"
"398","Andrew Copp","DET, NYR, WPG","C","29","1994-07-08","Ann Arbor","MI","USA","USA","73","199","2013","WPG","4","13","104"
"22","Andrew Ladd","ARI","L","38","1985-12-12","Maple Ridge","BC","CAN","CAN","75","205","2004","CAR","1","4","4"
"530","Andrew Mangiapane","CGY","L","28","1996-04-04","Toronto","ON","CAN","CAN","70","184","2015","CGY","6","15","166"
"682","Andrew Peeke","BOS, CBJ","D","26","1998-03-17","Parkland","FL","USA","USA","75","210","2016","CBJ","2","4","34"
"639","Andrew Poturalski","CAR, SEA","C","30","1994-01-14","Williamsville","NY","USA","USA","70","183","-","-","-","-","-"
"251","Andy Andreoff","NYI","C","33","1991-05-17","Pickering","ON","CAN","CAN","73","208","2011","L.A","3","19","80"
"46","Andy Greene","NYI","D","41","1982-10-30","Trenton","MI","USA","USA","71","190","-","-","-","-","-"
"956","Angus Crookshank","OTT","L","24","1999-10-02","North Vancouver","BC","CAN","CAN","70","181","2018","OTT","5","2","126"
"513","Anthony Angello","PIT","R","28","1996-03-06","Albany","NY","USA","USA","77","210","2014","PIT","5","25","145"
"577","Anthony Beauvillier","CHI, NSH, NYI, VAN","L","27","1997-06-08","Sorel-Tracy","QC","CAN","CAN","71","180","2015","NYI","1","28","28"
"601","Anthony Cirelli","T.B","C","26","1997-07-15","Etobicoke","ON","CAN","CAN","72","189","2015","T.B","3","11","72"
"392","Anthony Duclair","FLA, S.J, T.B","L","28","1995-08-26","Pointe-Claire","QC","CAN","CAN","71","197","2013","NYR","3","19","80"
"714","Anthony Greco","NYR","R","30","1993-09-30","Queens","NY","USA","USA","70","179","-","-","-","-","-"
"439","Anthony Mantha","VGK, WSH","R","29","1994-09-16","Longueuil","QC","CAN","CAN","77","234","2013","DET","1","20","20"
"545","Anthony Richard","BOS, MTL","C","27","1996-12-20","Trois-Rivieres","QC","CAN","CAN","71","183","2015","NSH","4","9","100"
"128","Antoine Roussel","ARI","L","34","1989-11-21","Roubaix","","FRA","FRA","71","200","-","-","-","-","-"
"373","Anton Blidh","BOS, COL, NYR","L","29","1995-03-14","Molnlycke","","SWE","SWE","73","197","2013","BOS","6","29","180"
"1233","Anton Levtchi","FLA","L","28","1995-11-28","Varkaus","","FIN","FIN","72","185","-","-","-","-","-"
"1093","Anton Lundell","FLA","C","22","2001-10-03","Espoo","","FIN","FIN","73","185","2020","FLA","1","12","12"
"44","Anton Stralman","ARI, BOS","D","37","1986-08-01","Tibro","","SWE","SWE","71","193","2005","TOR","7","22","216"
"33","Anze Kopitar","L.A","C","36","1987-08-24","Jesenice","","SVN","SVN","75","225","2005","L.A","1","11","11"
"1193","Arber Xhekaj","MTL","D","23","2001-01-30","Hamilton","ON","CAN","CAN","76","238","-","-","-","-","-"
"844","Arnaud Durandeau","NYI","L","25","1999-01-14","Montreal","QC","CAN","CAN","72","185","2017","NYI","6","10","165"
"1196","Arshdeep Bains","VAN","L","23","2001-01-09","Surrey","BC","CAN","CAN","72","184","-","-","-","-","-"
"1131","Artem Zub","OTT","D","28","1995-10-03","Khabarovsk","","RUS","RUS","74","200","-","-","-","-","-"
"1001","Artemi Kniazev","S.J","D","23","2001-01-04","Kazan","","RUS","RUS","71","178","2019","S.J","2","17","48"
"604","Artemi Panarin","NYR","L","32","1991-10-30","Korkino","","RUS","RUS","72","173","-","-","-","-","-"
"1008","Arthur Kaliyev","L.A","R","22","2001-06-26","New York City","","USA","USA","74","210","2019","L.A","2","2","33"
"1036","Arttu Ruotsalainen","BUF","C","26","1997-10-29","Oulu","","FIN","FIN","68","187","-","-","-","-","-"
"418","Artturi Lehkonen","COL, MTL","L","28","1995-07-04","Piikkio","","FIN","FIN","71","179","2013","MTL","2","25","55"
"600","Austin Czarnik","DET, NYI, SEA","C","31","1992-12-12","Detroit","MI","USA","USA","69","170","-","-","-","-","-"
"501","Austin Poganski","WPG","R","28","1996-02-16","St. Cloud","MN","USA","USA","73","198","2014","STL","4","20","110"
"870","Austin Strand","ANA, L.A","D","27","1997-02-17","Calgary","AB","CAN","","75","215","-","-","-","-","-"
"573","Austin Wagner","CHI","L","26","1997-06-23","Calgary","AB","CAN","CAN","73","195","2015","L.A","4","8","99"
"200","Austin Watson","OTT, T.B","L","32","1992-01-13","Ann Arbor","MI","USA","USA","76","204","2010","NSH","1","18","18"
"648","Auston Matthews","TOR","C","26","1997-09-17","San Ramon","CA","USA","USA","75","208","2016","TOR","1","1","1"
"730","Axel Jonsson-Fjallby","WPG, WSH","L","26","1998-02-10","Stockholm","","SWE","SWE","73","189","2016","WSH","5","26","147"
"293","Barclay Goodrow","NYR","C","31","1993-02-26","Toronto","ON","CAN","CAN","74","204","-","-","-","-","-"
"907","Barrett Hayton","ARI","C","24","2000-06-09","Peterborough","ON","CAN","CAN","73","207","2018","ARI","1","5","5"
"675","Beck Malenstyn","WSH","L","26","1998-02-04","Delta","BC","CAN","CAN","75","200","2016","WSH","5","24","145"
"169","Ben Chiarot","DET, FLA, MTL","D","33","1991-05-09","Hamilton","ON","CAN","CAN","75","232","2009","ATL","4","29","120"
"399","Ben Harpur","NSH, NYR","D","29","1995-01-12","Hamilton","ON","CAN","CAN","78","231","2013","OTT","4","17","108"
"359","Ben Hutton","VGK","D","31","1993-04-20","Brockville","ON","CAN","CAN","75","201","2012","VAN","5","26","147"
"848","Ben Jones","VGK","C","25","1999-02-26","Waterloo","ON","CAN","CAN","72","187","2017","VGK","7","3","189"
"1065","Ben McCartney","ARI","L","22","2001-07-13","Portage la Prairie","MB","CAN","CAN","72","182","2020","ARI","7","18","204"
"1227","Ben Meyers","ANA, COL","C","25","1998-11-15","DELANO","MN","USA","USA","71","194","-","-","-","-","-"
"1134","Billy Sweezey","CBJ","D","28","1996-02-06","Hanson","MA","USA","USA","73","206","-","-","-","-","-"
"249","Blake Coleman","CGY","C","32","1991-11-28","Plano","TX","USA","USA","71","199","2011","N.J","3","14","75"
"25","Blake Comeau","DAL","L","38","1986-02-18","Meadow Lake","SK","CAN","CAN","73","200","2004","NYI","2","17","47"
"979","Blake Lizotte","L.A","C","26","1997-12-13","Lindstrom","MN","USA","USA","69","170","-","-","-","-","-"
"587","Blake Speers","ARI","C","27","1997-01-02","Sault Ste. Marie","ON","CAN","CAN","71","185","2015","N.J","3","6","67"
"23","Blake Wheeler","NYR, WPG","R","37","1986-08-31","Plymouth","MN","USA","USA","77","220","2004","PHX","1","5","5"
"915","Bo Groulx","ANA","C","24","2000-02-06","Gatineau","QC","CAN","CAN","74","200","2018","ANA","2","23","54"
"431","Bo Horvat","NYI, VAN","C","29","1995-04-05","London","ON","CAN","CAN","72","215","2013","VAN","1","9","9"
"1002","Bobby Brink","PHI","R","22","2001-07-08","Minnetonka","MN","USA","USA","68","166","2019","PHI","2","3","34"
"1133","Bobby McMann","TOR","C","27","1996-06-15","Wainwright, AB","AB","CAN","CAN","74","208","-","-","-","-","-"
"525","Bokondji Imama","ARI, OTT","L","27","1996-08-03","Montreal","QC","CAN","CAN","73","221","2015","T.B","6","29","180"
"258","Boone Jenner","CBJ","C","30","1993-06-15","Dorchester","ON","CAN","CAN","74","203","2011","CBJ","2","7","37"
"692","Boris Katchouk","CHI, OTT, T.B","L","25","1998-06-18","Waterloo","ON","CAN","CAN","74","206","2016","T.B","2","14","44"
"986","Bowen Byram","BUF, COL","D","23","2001-06-13","Cranbrook","BC","CAN","CAN","73","190","2019","COL","1","4","4"
"294","Brad Hunt","COL, VAN","D","35","1988-08-24","Maple Ridge","BC","CAN","CAN","69","177","-","-","-","-","-"
"1210","Brad Lambert","WPG","C","-","-","-","-","-","-","-","-","-","-","-","-","-"
"79","Brad Malone","EDM","C","35","1989-05-20","Miramichi","NB","CAN","CAN","74","217","2007","COL","4","14","105"
"48","Brad Marchand","BOS","L","36","1988-05-11","Halifax","NS","CAN","CAN","69","176","2006","BOS","3","8","71"
"16","Brad Richardson","CGY, VAN","R","39","1985-02-04","Belleville","ON","CAN","CAN","72","190","2003","COL","5","27","163"
"1073","Braden Schneider","NYR","D","22","2001-09-20","Prince Albert","SK","CAN","CAN","75","208","2020","NYR","1","19","19"
"1243","Bradly Nadeau","CAR","L","19","2005-05-05","","","CAN","","70","161","2023","CAR","1","30","30"
"306","Brady Skjei","CAR","D","30","1994-03-26","Lakeville","MN","USA","USA","75","210","2012","NYR","1","28","28"
"881","Brady Tkachuk","OTT","L","24","1999-09-16","Scottsdale","AZ","USA","USA","76","221","2018","OTT","1","4","4"
"445","Brandon Baddock","MTL","L","29","1995-03-29","Vermilion","AB","CAN","CAN","75","218","2014","N.J","6","11","161"
"1068","Brandon Biro","BUF","L","26","1998-03-11","Sherwood Park","AB","CAN","CAN","71","170","-","-","-","-","-"
"563","Brandon Carlo","BOS","D","27","1996-11-26","Colorado Springs","CO","USA","USA","78","218","2015","BOS","2","7","37"
"723","Brandon Duhaime","COL, MIN","R","27","1997-05-22","Coral Springs","FL","USA","USA","74","200","2016","MIN","4","15","106"
"657","Brandon Gignac","MTL","C","26","1997-11-07","Repentigny","QC","CAN","CAN","71","170","2016","N.J","3","19","80"
"731","Brandon Hagel","CHI, T.B","L","25","1998-08-27","Saskatoon","SK","CAN","CAN","74","179","2016","BUF","6","8","159"
"486","Brandon Montour","FLA","D","30","1994-04-11","Brantford","ON","CAN","CAN","72","194","2014","ANA","2","25","55"
"261","Brandon Saad","STL","L","31","1992-10-27","Pittsburgh","PA","USA","USA","73","215","2011","CHI","2","13","43"
"1200","Brandon Scanlin","NYR","D","25","1999-06-02","Hamilton","ON","CAN","CAN","75","223","-","-","-","-","-"
"643","Brandon Tanev","SEA","L","32","1991-12-31","Toronto","ON","CAN","CAN","72","189","-","-","-","-","-"
"1170","Brandt Clarke","L.A","D","21","2003-02-09","Nepean","ON","CAN","CAN","74","185","2021","L.A","1","8","8"
"152","Brayden McNabb","VGK","D","33","1991-01-21","Davidson","SK","CAN","CAN","76","215","2009","BUF","3","5","66"
"967","Brayden Pachal","CGY, VGK","D","24","1999-08-23","Estevan","SK","CAN","CAN","74","203","-","-","-","-","-"
"492","Brayden Point","T.B","C","28","1996-03-13","Calgary","AB","CAN","CAN","71","180","2014","T.B","3","19","79"
"142","Brayden Schenn","STL","C","32","1991-08-22","Saskatoon","SK","CAN","CAN","73","199","2009","L.A","1","5","5"
"989","Brayden Tracey","ANA","L","23","2001-05-28","Calgary","AB","CAN","CAN","72","177","2019","ANA","1","29","29"
"1111","Brendan Brisson","VGK","C","22","2001-10-22","","","USA","","72","191","2020","VGK","1","29","29"
"220","Brendan Gallagher","MTL","R","32","1992-05-06","Edmonton","AB","CAN","CAN","69","186","2010","MTL","5","27","147"
"305","Brendan Gaunce","CBJ","C","30","1994-03-25","Sudbury","ON","CAN","CAN","75","219","2012","VAN","1","26","26"
"553","Brendan Guhle","ANA","D","26","1997-07-29","Edmonton","AB","CAN","CAN","74","197","2015","BUF","2","21","51"
"479","Brendan Lemieux","CAR, L.A, PHI","L","28","1996-03-15","Denver","CO","USA","USA","73","215","2014","BUF","2","1","31"
"466","Brendan Perlini","EDM","L","28","1996-04-27","Guildford","","GBR","GBR","75","211","2014","ARI","1","12","12"
"80","Brendan Smith","CAR, N.J","D","35","1989-02-08","Mimico","ON","CAN","CAN","74","200","2007","DET","1","27","27"
"175","Brenden Dillon","WPG","D","33","1990-11-13","New Westminster","BC","CAN","CAN","76","224","-","-","-","-","-"
"1176","Brennan Othmann","NYR","L","21","2003-01-05","Scarborough","ON","CAN","CAN","72","188","2021","NYR","1","16","16"
"11","Brent Burns","CAR, S.J","D","39","1985-03-09","Barrie","ON","CAN","CAN","77","230","2003","MIN","1","20","20"
"208","Brett Connolly","CHI","R","32","1992-05-02","Campbell River","BC","CAN","CAN","75","198","2010","T.B","1","6","6"
"672","Brett Howden","VGK","C","26","1998-03-29","Calgary","AB","CAN","CAN","74","203","2016","T.B","1","27","27"
"348","Brett Kulak","EDM, MTL","D","30","1994-01-06","Edmonton","AB","CAN","CAN","73","197","2012","CGY","4","14","105"
"981","Brett Leason","ANA, WSH","R","25","1999-04-30","Calgary","AB","CAN","CAN","77","218","2019","WSH","2","25","56"
"707","Brett Murray","BUF","L","25","1998-07-20","Bolton","ON","CAN","CAN","77","228","2016","BUF","4","8","99"
"422","Brett Pesce","CAR","D","29","1994-11-15","Tarrytown","NY","USA","USA","75","206","2013","CAR","3","5","66"
"262","Brett Ritchie","ARI, CGY","R","30","1993-07-01","Orangeville","ON","CAN","CAN","76","215","2011","DAL","2","14","44"
"624","Brett Seney","CHI, TOR","L","28","1996-02-28","London","ON","CAN","CAN","69","156","2015","N.J","6","6","157"
"12","Brian Boyle","PIT","C","39","1984-12-18","Hingham","MA","USA","USA","78","245","2003","L.A","1","26","26"
"157","Brian Dumoulin","PIT, SEA","D","32","1991-09-06","Biddeford","ME","USA","USA","76","207","2009","CAR","2","21","51"
"1222","Brian Halonen","N.J","L","25","1999-01-11","","","USA","","72","207","-","-","-","-","-"
"564","Brock Boeser","VAN","R","27","1997-02-25","Burnsville","MN","USA","USA","73","208","2015","VAN","1","23","23"
"1097","Brock Faber","MIN","D","21","2002-08-22","Maple Grove","MN","USA","USA","73","200","2020","L.A","2","14","45"
"341","Brock McGinn","ANA, PIT","L","30","1994-02-02","Fergus","ON","CAN","CAN","72","187","2012","CAR","2","17","47"
"193","Brock Nelson","NYI","C","32","1991-10-15","Warroad","MN","USA","USA","76","210","2010","NYI","1","30","30"
"216","Bryan Rust","PIT","R","32","1992-05-11","Pontiac","MI","USA","USA","71","192","2010","PIT","3","20","80"
"1064","Bryce Kindopp","ANA","R","25","1999-06-14","Lloydminster","AB","CAN","CAN","73","185","-","-","-","-","-"
"367","Buddy Robinson","ANA, CHI","R","32","1991-09-30","Bellmawr","NJ","USA","USA","78","232","-","-","-","-","-"
"168","Byron Froese","VGK","C","33","1991-03-12","Winkler","MB","CAN","CAN","73","202","2009","CHI","4","28","119"
"823","C.J. Smith","CAR","L","29","1994-12-01","Des Moines","IA","USA","USA","71","191","-","-","-","-","-"
"55","Cal Clutterbuck","NYI","R","36","1987-11-18","Welland","ON","CAN","CAN","72","212","2006","MIN","3","9","72"
"769","Cal Foote","N.J, NSH, T.B","D","25","1998-12-13","Denver","CO","USA","USA","77","224","2017","T.B","1","14","14"
"770","Cale Fleury","SEA","D","25","1998-11-19","Carlyle","SK","CAN","CAN","73","204","2017","MTL","3","25","87"
"815","Cale Makar","COL","D","25","1998-10-30","Calgary","AB","CAN","CAN","71","187","2017","COL","1","4","4"
"571","Caleb Jones","CHI, COL","D","27","1997-06-06","Arlington","TX","USA","USA","73","194","2015","EDM","4","26","117"
"923","Calen Addison","MIN, S.J","D","24","2000-04-11","Brandon","MB","CAN","CAN","71","173","2018","PIT","2","22","53"
"1132","Callahan Burke","CAR, COL","C","27","1997-03-19","Boxborough","MA","USA","USA","70","183","-","-","-","-","-"
"181","Calle Jarnkrok","CGY, SEA, TOR","C","32","1991-09-25","Gävle","","SWE","SWE","72","192","2010","DET","2","21","51"
"829","Calle Rosen","STL","D","30","1994-02-02","Vaxjo","","SWE","SWE","73","188","-","-","-","-","-"
"146","Calvin de Haan","CAR, CHI, T.B","D","33","1991-05-09","Carp","ON","CAN","CAN","73","195","2009","NYI","1","12","12"
"124","Cam Atkinson","PHI","R","35","1989-06-05","Riverside","CT","USA","USA","68","176","2008","CBJ","6","6","157"
"664","Cam Dineen","ARI","D","25","1998-06-19","Toms River","NJ","USA","USA","71","188","2016","ARI","3","7","68"
"198","Cam Fowler","ANA","D","32","1991-12-05","Windsor","ON","CAN","USA","74","215","2010","ANA","1","12","12"
"999","Cam York","PHI","D","23","2001-01-05","Anaheim","CA","USA","USA","71","175","2019","PHI","1","14","14"
"1195","Cameron Butler","CBJ","R","-","-","-","-","-","-","-","-","-","-","-","-","-"
"821","Cameron Crotty","ARI","D","25","1999-05-05","Ottawa","ON","CAN","CAN","75","188","2017","ARI","3","20","82"
"911","Cameron Hillis","MTL","C","23","2000-06-24","Oshawa","ON","CAN","CAN","69","175","2018","MTL","3","4","66"
"415","Carl Dahlstrom","TOR","D","29","1995-01-28","Stockholm","","SWE","SWE","76","231","2013","CHI","2","21","51"
"660","Carl Grundstrom","L.A","R","26","1997-12-01","Umea","","SWE","SWE","72","195","2016","TOR","2","27","57"
"92","Carl Hagelin","WSH","L","35","1988-08-23","Sodertalje","","SWE","SWE","72","183","2007","NYR","6","17","168"
"854","Carson Meyer","CBJ","R","26","1997-08-18","Powell","OH","USA","USA","71","184","-","-","-","-","-"
"384","Carson Soucy","SEA, VAN","D","29","1994-07-27","Viking","AB","CAN","CAN","77","208","2013","MIN","5","16","137"
"370","Carter Rowney","DET","C","35","1989-05-10","Grand Prairie","AB","CAN","CAN","74","208","-","-","-","-","-"
"393","Carter Verhaeghe","FLA","C","28","1995-08-14","Toronto","ON","CAN","CAN","74","180","2013","TOR","3","21","82"
"163","Casey Cizikas","NYI","C","33","1991-02-27","Toronto","ON","CAN","CAN","71","190","2009","NYI","4","1","92"
"739","Casey Fitzgerald","BUF, FLA","D","27","1997-02-25","North Reading","MA","USA","USA","71","188","2016","BUF","3","25","86"
"778","Casey Mittelstadt","BUF, COL","C","25","1998-11-22","Edina","MN","USA","USA","73","195","2017","BUF","1","8","8"
"349","Cedric Paquette","MTL","C","30","1993-08-13","Gaspe","QC","CAN","CAN","72","205","2012","T.B","4","10","101"
"371","Chad Ruhwedel","NYR, PIT","D","34","1990-05-07","San Diego","CA","USA","USA","71","191","-","-","-","-","-"
"327","Chandler Stephenson","VGK","C","30","1994-04-22","Saskatoon","SK","CAN","CAN","72","209","2012","WSH","3","16","77"
"343","Charles Hudon","COL","L","29","1994-06-23","Alma","QC","CAN","CAN","70","190","2012","MTL","5","1","122"
"188","Charlie Coyle","BOS","C","32","1992-03-02","E. Weymouth","MA","USA","USA","75","223","2010","S.J","1","28","28"
"654","Charlie McAvoy","BOS","D","26","1997-12-21","Long Beach","NY","USA","USA","73","209","2016","BOS","1","14","14"
"499","Chase De Leo","N.J","C","28","1995-10-25","La Mirada","CA","USA","USA","69","185","2014","WPG","4","9","99"
"590","Chase Pearson","DET","C","26","1997-08-23","Cornwall","ON","CAN","CAN","75","202","2015","DET","5","19","140"
